symbol,company_id,year_id,revenue,net_profit,total_assets,borrowings,equity_capital,reserves,operating_cash_flow,net_profit_margin_pct,return_on_assets,debt_to_equity,equity_ratio,cash_conversion_ratio,revenue_growth,overall_score,health_label
ABB,1,9,1653.0,145.0,907.0,0.0,21.0,626.0,101.0,0.08771929824561403,0.15986769570011025,0.0,0.7133406835722161,0.5285977935117884,0.0,0.2957219484495544,AVERAGE
ABB,1,19,2276.0,198.0,1139.0,0.0,21.0,767.0,155.0,0.08699472759226713,0.17383669885864794,0.0,0.6918349429323969,0.5782010262387616,0.3198276974251973,0.47189239365337987,EXCELLENT
ABB,1,25,2289.0,229.0,1374.0,0.0,21.0,916.0,215.0,0.1000436871996505,0.16666666666666666,0.0,0.6819505094614265,0.6621025588779851,0.005695524706345254,0.3096995771977061,AVERAGE
ABB,1,31,2614.0,255.0,1616.0,0.0,21.0,1174.0,249.0,0.09755164498852334,0.1577970297029703,0.0,0.739480198019802,0.6813127229129424,0.13276657423160054,0.38871107445713704,GOOD
ABB,1,36,2903.0,277.0,2066.0,0.0,21.0,1366.0,307.0,0.09541853255253187,0.1340755082284608,0.0,0.6713455953533398,0.7458834766408886,0.10486306984046272,0.37012430667401225,GOOD
ABB,1,41,3298.0,401.0,2416.0,0.0,21.0,1672.0,153.0,0.12158884172225591,0.16597682119205298,0.0,0.7007450331125827,0.3232032594407146,0.12757153909491428,0.3438735118871916,GOOD
ABB,1,46,3679.0,450.0,2941.0,0.0,21.0,1987.0,499.0,0.12231584669747214,0.15300918055083304,0.0,0.6827609656579394,0.7461612158455624,0.10932475198523017,0.3766062005072911,GOOD
ABB,1,51,4093.0,593.0,3547.0,175.0,21.0,2410.0,626.0,0.14488150500855118,0.16718353538201297,0.06951378336866708,0.6853679165491965,0.7205917304835461,0.10663722138762867,0.3717328706389079,GOOD
ABB,1,56,4310.0,691.0,3840.0,153.0,21.0,2581.0,727.0,0.1603248259860789,0.17994791666666668,0.057137062514564275,0.6776041666666667,0.718862883324403,0.05165970660539053,0.34250710484150404,GOOD
ABB,1,61,4913.0,799.0,4224.0,152.0,21.0,2799.0,948.0,0.16262975778546712,0.18915719696969696,0.05249824190549052,0.6676136363636364,0.7822943643677819,0.1309468490708548,0.39149121972561174,GOOD
ABB,1,66,5349.0,949.0,4556.0,113.0,21.0,3167.0,893.0,0.1774163395027108,0.20829675153643548,0.034831691943087356,0.6997366110623354,0.6631984182053243,0.08502487436260185,0.36060542674188745,GOOD
ABB,1,70,5849.0,1201.0,5193.0,83.0,21.0,3678.0,1213.0,0.20533424517011456,0.23127286732139418,0.022190457385948815,0.7123050259965338,0.6981305795774932,0.0893610789117757,0.3716011867939171,GOOD
ADANIENSOL,2,19,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03683628806258653,0.0,0.0,0.13234745469614476,WEAK
ADANIENSOL,2,25,131.0,-7.0,11492.0,9701.0,1090.0,-7.0,-35.0,-0.05343511450381679,-0.0006091193873999304,2.2983285861510976,0.09423947093630351,1.791759469228055,0.0,0.22901679771843145,WEAK
ADANIENSOL,2,31,2194.0,368.0,11746.0,8585.0,1100.0,1572.0,1544.0,0.16773017319963537,0.031329814404903795,1.4381629016982678,0.2274816958964754,1.6478221554424157,0.7522814757735977,0.6962312535352773,EXCELLENT
ADANIENSOL,2,36,2876.0,416.0,12811.0,8975.0,1100.0,1847.0,2189.0,0.14464534075104313,0.03247209429396612,1.397597729042177,0.23003668722191867,1.8345026939262041,0.27067407800576176,0.45500959806004554,EXCELLENT
ADANIENSOL,2,41,3944.0,1143.0,17265.0,10428.0,1100.0,4957.0,2198.0,0.2898073022312373,0.06620330147697655,1.0012362485248842,0.35082536924413554,1.0726137785619458,0.31579499688158874,0.44401011436671217,EXCELLENT
ADANIENSOL,2,46,7305.0,559.0,32558.0,20137.0,1100.0,6943.0,2591.0,0.07652292950034223,0.01716935929725413,1.2538103585486022,0.24703605872596596,1.7290082586645796,0.6163636084622738,0.6346832149345546,EXCELLENT
ADANIENSOL,2,51,11416.0,706.0,39711.0,24246.0,1100.0,7399.0,5437.0,0.06184302733006307,0.017778449296164792,1.3488017691535277,0.214021303920828,2.1634532636706854,0.44645683497187244,0.5790298926819766,EXCELLENT
ADANIENSOL,2,56,9926.0,1290.0,43234.0,27095.0,1100.0,7819.0,3784.0,0.12996171670360668,0.02983762779294074,1.3957239190632436,0.20629597076375075,1.3694872428035094,0.0,0.253554226902837,WEAK
ADANIENSOL,2,61,11258.0,1236.0,47464.0,29902.0,1100.0,8813.0,4097.0,0.10978859477704743,0.02604078880836002,1.3903966986586476,0.20885302545086804,1.4620335725829663,0.12592140987658576,0.3308818292796177,AVERAGE
ADANIENSOL,2,66,13293.0,1281.0,53932.0,34270.0,1115.0,10634.0,3777.0,0.09636650868878358,0.023752132314766743,1.3652862241029446,0.21784840169101832,1.3733301253331762,0.16615859384362733,0.3445340251201642,GOOD
ADANIENSOL,2,70,16607.0,1196.0,58538.0,37070.0,1115.0,11526.0,6038.0,0.07201782380923707,0.02043117291332126,1.3692807370675482,0.21594519799104855,1.7998094780014662,0.22258671233915384,0.41859331150122564,EXCELLENT
ADANIENT,3,14,46375.0,1218.0,111871.0,69332.0,110.0,21286.0,7666.0,0.026264150943396226,0.010887540113166057,1.4446620308440257,0.19125600021453282,1.9870417367444757,0.0,0.30727741513139517,AVERAGE
ADANIENT,3,19,54947.0,2646.0,118102.0,71980.0,110.0,23647.0,8228.0,0.04815549529546654,0.02240436233086654,1.3937276247117705,0.20115662732214526,1.4133255530309652,0.169608563345223,0.3433509135163818,GOOD
